Project ID,Customer Name,Customer Group Description,Delivery IBU ID,Delivery IBG ID,Proj Pricing Model,Fiscal Month,Fiscal Year,Vertical,Sales SBU ID,Sales IBG ID,Contract Sub Type,Quarter, Revenue Offshore, Revenue Onsite, Revenue Bought Out, Revenue Total
Y.IN2301702,Customer 1,Customer Group 1,DEA-D-4001,DEA-D-3004,T&M,JAN,2024,MANUFACTURING,ASV,SMFG1,T&M STAFFING,Q4'25,-10126.62,1,1,-10126.62
Y.IN2301702,Customer 1,Customer Group 1,DEA-D-4001,DEA-D-3004,T&M,JAN,2024,MANUFACTURING,EMEA-SALES,SICE,T&M STAFFING,Q4'25,"10,126.62",1,1,"10,126.62"
Y.IN2301702,Customer 1,Customer Group 1,DEA-D-4001,DEA-D-3004,T&M,FEB,2024,MANUFACTURING,ASV,SMFG1,T&M STAFFING,Q4'25,"-14,965.70",1,1,"-14,965.70"
Y.IN2301702,Customer 1,Customer Group 1,DEA-D-4001,DEA-D-3004,T&M,FEB,2024,MANUFACTURING,EMEA-SALES,SICE,T&M STAFFING,Q4'25,"14,965.70",1,11,"14,965.70"
Y.IN2301702,Customer 1,Customer Group 1,DEA-D-4001,DEA-D-3004,T&M,MAR,2024,MANUFACTURING,ASV,SMFG1,T&M STAFFING,Q4'25,"-15,288.48",1,1,"-15,288.48"
Y.IN2301702,Customer 1,Customer Group 1,DEA-D-4001,DEA-D-3004,T&M,MAR,2024,MANUFACTURING,EMEA-SALES,SICE,T&M STAFFING,Q4'25,"15,288.48",1,1,"15,288.48"
Y.IN2405684,Customer 3,Customer Group 3,DEA-D-4001,DEA-D-3004,T&M,MAR,2024,BFSI,APJ-SALES,IBGANZBFSI,NA,Q4'25,1,1,1,1
Y.IN2405684,Customer 3,Customer Group 3,DEA-D-4001,DEA-D-3004,T&M,MAR,2024,BFSI,APJ-SALES,IBGANZDIG,NA,Q4'25,1,1,1,1
Y.IN2305739,Customer 4,Customer Group 4,DEA-D-4001,DEA-D-3004,FP,MAR,2024,BFSI,APJ-SALES,IBGANZBFSI,FP EMI,Q4'25,1,1,1,1
"P_Y.IN2303616""",Customer 6,Customer Group 6,DEA-D-4001,DEA-D-3004,FP,MAR,2024,COMMUNICATIONS,INDIA-SALE,SIGMEA,NA,Q4'25,"104,000.00",1,1,"104,000.00"
MOMPM009,Customer 7,Customer Group 7,DEA-D-4001,DEA-D-3004,FP,FEB,2024,BFS,APJ-SALES,IBGANZBFSI,#,Q4'25,1,"14,505.07",1,"14,505.07"
MOMPM009,Customer 7,Customer Group 7,DEA-D-4001,DEA-D-3004,FP,MAR,2024,BFS,APJ-SALES,IBGANZBFSI,#,Q4'25,1,"14,815.96",1,"14,815.96"
Y.IN2306423,Customer 9,Customer Group 9,DEA-D-4001,DEA-D-3004,FP,JAN,2024,RET,ASV,SIEV2,FP EMI,Q4'25,1,1,1,1
Y.IN2306423,Customer 9,Customer Group 9,DEA-D-4001,DEA-D-3004,FP,FEB,2024,RET,ASV,SIEV2,FP EMI,Q4'25,1,1,1,1
Y.IN2306423,Customer 9,Customer Group 9,DEA-D-4001,DEA-D-3004,FP,MAR,2024,RET,ASV,SIEV2,FP EMI,Q4'25,1,1,1,1
16330,Customer 10,Customer Group 10,DEA-D-4001,DEA-D-3004,FP,JAN,2024,HLS,ASV,SHLS,FP EMI,Q4'25,"24,550.12",1,1,"24,550.12"
16330,Customer 10,Customer Group 10,DEA-D-4001,DEA-D-3004,FP,FEB,2024,HLS,ASV,SHLS,FP EMI,Q4'25,"4,149.00",1,1,"4,149.00"
16330,Customer 10,Customer Group 10,DEA-D-4001,DEA-D-3004,FP,MAR,2024,HLS,ASV,SHLS,FP EMI,Q4'25,"4,228.73",1,1,"4,228.73"
31528,Customer 11,Customer Group 11,DEA-D-4001,DEA-D-3004,T&M,JAN,2024,OTH,EMEA-SALES,SIUK,T&M STAFFING,Q4'25,1,1,1,1
31528,Customer 11,Customer Group 11,DEA-D-4001,DEA-D-3004,T&M,FEB,2024,OTH,EMEA-SALES,SIUK,T&M STAFFING,Q4'25,1,1,1,1
31528,Customer 11,Customer Group 11,DEA-D-4001,DEA-D-3004,T&M,MAR,2024,OTH,EMEA-SALES,SIUK,T&M STAFFING,Q4'25,1,1,1,1
Y.AR2400062,Customer 24,Customer Group 24,DEA-D-4004,DEA-D-3004,T&M,JAN,2024,BFS,INDIA-SALE,SIGMEA,T&M STAFFING,Q4'25,1,11,1,1
Y.AR2400062,Customer 24,Customer Group 24,DEA-D-4004,DEA-D-3004,T&M,FEB,2024,BFS,INDIA-SALE,SIGMEA,T&M STAFFING,Q4'25,1,"13,658.12",1,"13,658.12"
Y.AR2400062,Customer 24,Customer Group 24,DEA-D-4004,DEA-D-3004,T&M,MAR,2024,BFS,INDIA-SALE,SIGMEA,T&M STAFFING,Q4'25,1,"6,571.41","12,145.70","18,717.11"
Y.AR2400073,Customer 25,Customer Group 25,DEA-D-4003,DEA-D-3004,FP,MAR,2024,OTH,INDIA-SALE,SIGMEA,PRODUCT/PLATFORM-LEASE,Q4'25,1,1,1,1
Y.CG2400002,Customer 26,Customer Group 26,DEA-D-4002,DEA-D-3004,T&M,JAN,2024,BFS,ASV,SIBFS,T&M STAFFING,Q4'25,"4,913.69",3.58,1,"4,917.27"
Y.CG2400002,Customer 26,Customer Group 26,DEA-D-4002,DEA-D-3004,T&M,FEB,2024,BFS,ASV,SIBFS,T&M STAFFING,Q4'25,"2,551.71",0.02,1,"2,551.73"
Y.CG2400002,Customer 26,Customer Group 26,DEA-D-4002,DEA-D-3004,T&M,MAR,2024,BFS,ASV,SIBFS,T&M STAFFING,Q4'25,"4,116.59",1.48,1,"4,118.07"
Y.CH2400003,Customer 27,Customer Group 27,DEA-D-4002,DEA-D-3004,FP,JAN,2024,BFS,EMEA-SALES,SEU03_BFSI,FP POC,Q4'25,"1,187.26",1,1,"1,187.26"
Y.CH2400003,Customer 27,Customer Group 27,DEA-D-4002,DEA-D-3004,FP,FEB,2024,BFS,EMEA-SALES,SEU03_BFSI,FP POC,Q4'25,"1,039.95",1,1,"1,039.95"
